25 62
10 12 56
9 12 48
3 17 35
16 2 7
4 24 61
10 1 97
21 3 96
22 20 23
19 14 26
2 8 88
6 10 73
12 13 4
2 6 11
16 14 91
15 16 46
6 1 54
11 8 37
12 18 4
23 7 14
8 3 32
14 4 63
9 11 26
13 17 14
16 22 90
19 5 22
3 7 48
7 21 28
13 14 60
19 24 100
18 15 44
1 15 81
10 20 57
15 2 48
13 9 7
22 18 25
8 9 80
18 16 18
25 18 79
4 22 89
1 21 34
13 3 35
9 16 61
5 21 11
3 23 57
19 4 99
18 11 60
4 9 33
23 21 94
4 16 99
19 7 79
18 19 41
16 24 67
18 7 94
18 3 88
18 8 100
5 3 48
13 24 47
19 10 32
2 11 32
11 25 90
13 15 29
9 15 93
